uid,label,score,reason
21173,Pedido de Informação,0.4219,
21288,Pedido de Informação,0.7162,
22545,Pedido de Informação,0.4302,
22561,Pedido de Informação,0.4556,
22683,Pedido de Informação,0.5096,
22737,Pedido de Informação,0.9668,
24351,Pedido de Informação,0.3603,
24501,Pedido de Informação,0.4298,
25634,Pedido de Informação,0.5828,
25980,Pedido de Informação,0.4877,
26004,Pedido de Informação,0.7755,
26007,Pedido de Informação,0.6873,
26016,Pedido de Informação,0.6105,
26054,Pedido de Informação,0.6091,
26057,Pedido de Informação,0.6091,
26505,Pedido de Informação,0.5669,
26591,Pedido de Informação,0.4284,
26666,Pedido de Informação,0.7911,
26730,Pedido de Informação,0.3341,
26779,SPAM,0.9554,
26995,Pedido de Encomenda,0.3621,
27009,Pedido de Informação,0.46,
27018,Pedido de Informação,0.4549,
27182,Pedido de Informação,0.666,
27390,Pedido de Encomenda,0.4977,
27391,Pedido de Informação,0.5227,
